Ship,Flag
RMS Douro,United Kingdom
HMS Egret,Royal Navy
USS Jallao,United States Navy
Soviet submarine K-8,Soviet Navy
Spanish ship Neptuno,Spanish Navy
MV Neretva,Croatia
Prestige,Bahamas
Sirio,Kingdom of Italy
U-106,Kriegsmarine
U-138,Kriegsmarine
U-751,Kriegsmarine
U-755,Kriegsmarine
U-77,Kriegsmarine
SS Yrurac Bat,Spain
SS Rex,Kingdom of Italy
SS August Helmerich,German Empire
Dalarö wreck,Unknown
MV Finnbirch,Sweden
Gribshunden,Denmark
Herakles,Sweden
SS I P Suhr,Denmark
Kronan,Swedish Navy
Luleå Northern Harbour Wreck,Unknown
Mars,Swedish Navy
S-2,Soviet Navy
S-7,Soviet Navy
Som,Swedish Navy
SV Swiks,Åland
Vasa,Swedish Navy
SS Westfalen,Kriegsmarine
Moskva,Russian Navy
Novorossiysk,Soviet Navy
HMS Tiger,Royal Navy
U-180,Kriegsmarine
Ajax,Denmark
HMS Amazon,Royal Navy
HMS Amfitrite,Royal Navy
Amoco Cadiz,Liberia
HMS Arethusa,Royal Navy
Asgard II,Ireland
HMCS Athabaskan,Royal Canadian Navy
Auguste,French Navy
Böhlen,East Germany
HMS Charybdis,Royal Navy
Droits de l'Homme,France
Empire Conyngham,United Kingdom
Erika,Malta
HMS Firm,Royal Navy
France,French Navy
USS Gypsum Queen,United States Navy
Hilda,United Kingdom
SS London,United Kingdom
HMS Magnificent,Royal Navy
HMS Monkey (1801),Royal Navy
Neptune,French Navy
Royal Louis,French Navy
Saint-Esprit,French Navy
Séduisant,French Navy
Superbe,French Navy
U-171,Kriegsmarine
U-441,Kriegsmarine
U-526,Kriegsmarine
U-767,Kriegsmarine
U-821,Kriegsmarine
UC-36,Imperial German Navy
HMS Affray,Royal Navy
Baden,Royal Navy
HMS Dragon,Royal Navy
HMS Lady Olive,Royal Navy
Stella,United Kingdom
UC-18,Imperial German Navy
HMS Fleche,Royal Navy
HMS Saracen,Royal Navy
Wreck of Rochelongue,
Abukir,United Kingdom
