line_index,Player,gender
1434,MERCUTIO,Male
1435,BENVOLIO,Male
1436,MERCUTIO,Male
1437,MERCUTIO,Male
1438,MERCUTIO,Male
1439,BENVOLIO,Male
1440,MERCUTIO,Male
1441,MERCUTIO,Male
1442,MERCUTIO,Male
1443,MERCUTIO,Male
1444,MERCUTIO,Male
1445,MERCUTIO,Male
1446,MERCUTIO,Male
1447,MERCUTIO,Male
1448,MERCUTIO,Male
1449,MERCUTIO,Male
1450,MERCUTIO,Male
1451,MERCUTIO,Male
1452,MERCUTIO,Male
1453,MERCUTIO,Male
1454,MERCUTIO,Male
1455,MERCUTIO,Male
1456,BENVOLIO,Male
1457,BENVOLIO,Male
1458,MERCUTIO,Male
1459,BENVOLIO,Male
1460,MERCUTIO,Male
1461,TYBALT,Male
1462,TYBALT,Male
1463,MERCUTIO,Male
1464,MERCUTIO,Male
1465,TYBALT,Male
1466,TYBALT,Male
1467,MERCUTIO,Male
1468,TYBALT,Male
1469,MERCUTIO,Male
1470,MERCUTIO,Male
1471,MERCUTIO,Male
1472,MERCUTIO,Male
1473,BENVOLIO,Male
1474,BENVOLIO,Male
1475,BENVOLIO,Male
1476,BENVOLIO,Male
1477,MERCUTIO,Male
1478,MERCUTIO,Male
1479,TYBALT,Male
1480,MERCUTIO,Male
1481,MERCUTIO,Male
1482,MERCUTIO,Male
1483,TYBALT,Male
1484,TYBALT,Male
1485,ROMEO,Male
1486,ROMEO,Male
1487,ROMEO,Male
1488,ROMEO,Male
1489,TYBALT,Male
1490,TYBALT,Male
1491,ROMEO,Male
1492,ROMEO,Male
1493,ROMEO,Male
1494,ROMEO,Male
1495,ROMEO,Male
1496,MERCUTIO,Male
1497,MERCUTIO,Male
1498,MERCUTIO,Male
1499,TYBALT,Male
1500,MERCUTIO,Male
1501,MERCUTIO,Male
1502,MERCUTIO,Male
1503,MERCUTIO,Male
1504,MERCUTIO,Male
1505,MERCUTIO,Male
1506,TYBALT,Male
1507,ROMEO,Male
1508,MERCUTIO,Male
1509,ROMEO,Male
1510,ROMEO,Male
1511,ROMEO,Male
1512,ROMEO,Male
1513,ROMEO,Male
1514,MERCUTIO,Male
1515,MERCUTIO,Male
1516,MERCUTIO,Male
1517,BENVOLIO,Male
1518,MERCUTIO,Male
1519,MERCUTIO,Male
1520,ROMEO,Male
1521,MERCUTIO,Male
1522,MERCUTIO,Male
1523,MERCUTIO,Male
1524,MERCUTIO,Male
1525,MERCUTIO,Male
1526,MERCUTIO,Male
1527,MERCUTIO,Male
1528,MERCUTIO,Male
1529,MERCUTIO,Male
1530,ROMEO,Male
1531,MERCUTIO,Male
1532,MERCUTIO,Male
1533,MERCUTIO,Male
1534,MERCUTIO,Male
1535,ROMEO,Male
1536,ROMEO,Male
1537,ROMEO,Male
1538,ROMEO,Male
1539,ROMEO,Male
1540,ROMEO,Male
1541,ROMEO,Male
1542,BENVOLIO,Male
1543,BENVOLIO,Male
1544,BENVOLIO,Male
1545,ROMEO,Male
1546,ROMEO,Male
1547,BENVOLIO,Male
1548,ROMEO,Male
1549,ROMEO,Male
1550,ROMEO,Male
1551,ROMEO,Male
1552,ROMEO,Male
1553,ROMEO,Male
1554,ROMEO,Male
1555,ROMEO,Male
1556,TYBALT,Male
1557,TYBALT,Male
1558,ROMEO,Male
1559,ROMEO,Male
1560,BENVOLIO,Male
1561,BENVOLIO,Male
1562,BENVOLIO,Male
1563,BENVOLIO,Male
1564,ROMEO,Male
1565,BENVOLIO,Male
1566,First Citizen,Undetermined
1567,First Citizen,Undetermined
1568,BENVOLIO,Male
1569,First Citizen,Undetermined
1570,First Citizen,Undetermined
1571,First Citizen,Undetermined
1572,PRINCE,Male
1573,BENVOLIO,Male
1574,BENVOLIO,Male
1575,BENVOLIO,Male
1576,BENVOLIO,Male
1577,LADY CAPULET,Female
1578,LADY CAPULET,Female
1579,LADY CAPULET,Female
1580,LADY CAPULET,Female
1581,LADY CAPULET,Female
1582,PRINCE,Male
1583,BENVOLIO,Male
1584,BENVOLIO,Male
1585,BENVOLIO,Male
1586,BENVOLIO,Male
1587,BENVOLIO,Male
1588,BENVOLIO,Male
1589,BENVOLIO,Male
1590,BENVOLIO,Male
1591,BENVOLIO,Male
1592,BENVOLIO,Male
1593,BENVOLIO,Male
1594,BENVOLIO,Male
1595,BENVOLIO,Male
1596,BENVOLIO,Male
1597,BENVOLIO,Male
1598,BENVOLIO,Male
1599,BENVOLIO,Male
1600,BENVOLIO,Male
1601,BENVOLIO,Male
1602,BENVOLIO,Male
1603,BENVOLIO,Male
1604,BENVOLIO,Male
1605,BENVOLIO,Male
1606,BENVOLIO,Male
1607,BENVOLIO,Male
1608,LADY CAPULET,Female
1609,LADY CAPULET,Female
1610,LADY CAPULET,Female
1611,LADY CAPULET,Female
1612,LADY CAPULET,Female
1613,LADY CAPULET,Female
1614,PRINCE,Male
1615,PRINCE,Male
1616,MONTAGUE,Male
1617,MONTAGUE,Male
1618,MONTAGUE,Male
1619,PRINCE,Male
1620,PRINCE,Male
1621,PRINCE,Male
1622,PRINCE,Male
1623,PRINCE,Male
